RX Date/Time,Pitch(field 1),Motor Setpoint(field 2),Pitch Error(field 3),Pitch Setpoint(field 4)
2023/06/16/ 23:22:47::364,
Pitch: -0.3952712,MotorSetpoint: 0.3546124,PitchError: -1.3347862,PitchSetpoint: -1.7300574,
2023/06/16/ 23:22:47::390,
Pitch: -0.3633531,MotorSetpoint: -10.0258198,PitchError: -1.3431932,PitchSetpoint: -1.7065463,
2023/06/16/ 23:22:47::409,
Pitch: -0.5281639,MotorSetpoint: -14.8010397,PitchError: -1.1783824,PitchSetpoint: -1.7065463,
2023/06/16/ 23:22:47::439,
Pitch: -0.9073638,MotorSetpoint: -13.1842184,PitchError: -0.7991825,PitchSetpoint: -1.7065463,
2023/06/16/ 23:22:47::470,
Pitch: -1.2525431,MotorSetpoint: -9.8769531,PitchError: -0.4452887,PitchSetpoint: -1.6978317,
2023/06/16/ 23:22:47::470,
Pitch: -1.6449394,MotorSetpoint: -2.6485696,PitchError: -0.0528923,PitchSetpoint: -1.6978317,
2023/06/16/ 23:22:47::509,
Pitch: -1.8657678,MotorSetpoint: 2.5367570,PitchError: 0.1679361,PitchSetpoint: -1.6978317,
2023/06/16/ 23:22:47::509,
Pitch: -2.0854921,MotorSetpoint: 9.2768373,PitchError: 0.4376252,PitchSetpoint: -1.6478670,
2023/06/16/ 23:22:47::551,
Pitch: -2.0596120,MotorSetpoint: 12.3138924,PitchError: 0.4117451,PitchSetpoint: -1.6478670,
2023/06/16/ 23:22:47::552,
Pitch: -1.9846141,MotorSetpoint: 12.8779850,PitchError: 0.3367472,PitchSetpoint: -1.6478670,
2023/06/16/ 23:22:47::702,
Pitch: -1.7702546,MotorSetpoint: 9.1665678,PitchError: 0.1339924,PitchSetpoint: -1.6362622,
2023/06/16/ 23:22:47::702,
Pitch: -1.6205401,MotorSetpoint: 6.0118074,PitchError: -0.0157220,PitchSetpoint: -1.6362622,
2023/06/16/ 23:22:47::702,
Pitch: -1.4440663,MotorSetpoint: 0.8352270,PitchError: -0.1921959,PitchSetpoint: -1.6362622,
2023/06/16/ 23:22:47::703,
Pitch: -1.3739254,MotorSetpoint: -2.7319126,PitchError: -0.2095109,PitchSetpoint: -1.5834364,
2023/06/16/ 23:22:47::703,
Pitch: -1.2435772,MotorSetpoint: -7.0233259,PitchError: -0.3398591,PitchSetpoint: -1.5834364,
2023/06/16/ 23:22:47::703,
Pitch: -1.2471448,MotorSetpoint: -9.7015963,PitchError: -0.3362916,PitchSetpoint: -1.5834364,
2023/06/16/ 23:22:47::703,
Pitch: -1.2332805,MotorSetpoint: -12.8605690,PitchError: -0.3297325,PitchSetpoint: -1.5630131,
2023/06/16/ 23:22:47::715,
Pitch: -1.3756194,MotorSetpoint: -11.3664169,PitchError: -0.1873937,PitchSetpoint: -1.5630131,
2023/06/16/ 23:22:47::731,
Pitch: -1.4217603,MotorSetpoint: -11.8958292,PitchError: -0.1412528,PitchSetpoint: -1.5630131,
2023/06/16/ 23:22:47::743,
Pitch: -1.5431139,MotorSetpoint: -10.0735016,PitchError: 0.0433755,PitchSetpoint: -1.4997385,
2023/06/16/ 23:22:47::764,
Pitch: -1.5579779,MotorSetpoint: -8.5626802,PitchError: 0.0582395,PitchSetpoint: -1.4997385,
2023/06/16/ 23:22:47::786,
Pitch: -1.5825216,MotorSetpoint: -7.3781242,PitchError: 0.0827831,PitchSetpoint: -1.4997385,
2023/06/16/ 23:22:47::803,
Pitch: -1.5577811,MotorSetpoint: -8.3274727,PitchError: 0.0795518,PitchSetpoint: -1.4782293,
2023/06/16/ 23:22:47::823,
