RX Date/Time,Pitch(field 1),Motor Setpoint(field 2),Pitch Error(field 3),Pitch Setpoint(field 4),Linear Acceleration(field 5),Acceleration Setpoint(field 6),Acceleration Error(field 7)
2023/06/16/ 23:31:01::385,
Pitch: 0.0378558,MotorSetpoint: -22.6661873,PitchError: -1.5377461,PitchSetpoint: -1.4998902,LinearAccel: -34.0567856,AccelSetpoint: 0.0000000,AccelError: 34.0567856,
2023/06/16/ 23:31:01::410,
Pitch: -0.0437627,MotorSetpoint: -31.6773148,PitchError: -1.4561275,PitchSetpoint: -1.4998902,LinearAccel: -26.0533104,AccelSetpoint: 0.0000000,AccelError: 26.0533104,
2023/06/16/ 23:31:01::432,
Pitch: -0.3464406,MotorSetpoint: -34.2638512,PitchError: -1.0970225,PitchSetpoint: -1.4434631,LinearAccel: -48.3816605,AccelSetpoint: 0.0000000,AccelError: 48.3816605,
2023/06/16/ 23:31:01::458,
Pitch: -0.7132072,MotorSetpoint: -31.5507469,PitchError: -0.7302559,PitchSetpoint: -1.4434631,LinearAccel: -43.0615425,AccelSetpoint: 0.0000000,AccelError: 43.0615425,
2023/06/16/ 23:31:01::481,
Pitch: -1.1318936,MotorSetpoint: -26.0281372,PitchError: -0.3115695,PitchSetpoint: -1.4434631,LinearAccel: 20.5418472,AccelSetpoint: 0.0000000,AccelError: -20.5418472,
2023/06/16/ 23:31:01::521,
Pitch: -1.7037412,MotorSetpoint: -13.4133444,PitchError: 0.2503612,PitchSetpoint: -1.4533800,LinearAccel: 1.5884995,AccelSetpoint: 0.0000000,AccelError: -1.5884995,
2023/06/16/ 23:31:01::521,
Pitch: -2.4185297,MotorSetpoint: 6.8925467,PitchError: 0.9651498,PitchSetpoint: -1.4533800,LinearAccel: -1.3500333,AccelSetpoint: 0.0000000,AccelError: 1.3500333,
2023/06/16/ 23:31:01::552,
Pitch: -2.6034060,MotorSetpoint: 18.2076645,PitchError: 1.1500260,PitchSetpoint: -1.4533800,LinearAccel: 54.2778397,AccelSetpoint: 0.0000000,AccelError: -54.2778397,
2023/06/16/ 23:31:01::553,
Pitch: -2.6202428,MotorSetpoint: 26.3965397,PitchError: 1.1686229,PitchSetpoint: -1.4516200,LinearAccel: -1.2816727,AccelSetpoint: 0.0000000,AccelError: 1.2816727,
2023/06/16/ 23:31:01::603,
Pitch: -2.2743649,MotorSetpoint: 25.0397701,PitchError: 0.8227450,PitchSetpoint: -1.4516200,LinearAccel: 12.9616032,AccelSetpoint: 0.0000000,AccelError: -12.9616032,
2023/06/16/ 23:31:01::604,
