RX Date/Time,Pitch(field 1),Motor Setpoint(field 2),Pitch Error(field 3),Pitch Setpoint(field 4),Linear Acceleration(field 5),Acceleration Setpoint(field 6),Acceleration Error(field 7),Linear Speed(field 8),Linear Speed Setpoint(field 9),Linear Speed Error(field 10)
2023/06/17/ 12:44:11::068,
Pitch: -0.3433461,MotorSetpoint: -14.6589298,PitchError: -1.1571957,PitchSetpoint: -1.5005418,LinearAccel: 3.6427529,AccelSetpoint: 0.0000000,AccelError: -3.6427529,LinearSpeed: 1.0057819,speedSetpoint: 0.0000000,SpeedError: -1.0057819,
2023/06/17/ 12:44:11::101,
Pitch: -0.5557336,MotorSetpoint: -17.3679142,PitchError: -0.9448082,PitchSetpoint: -1.5005418,LinearAccel: 18.3227787,AccelSetpoint: 0.0000000,AccelError: -18.3227787,LinearSpeed: 1.3722374,speedSetpoint: 0.0000000,SpeedError: -1.3722374,
2023/06/17/ 12:44:11::117,
Pitch: -0.9058931,MotorSetpoint: -14.9298038,PitchError: -0.5912373,PitchSetpoint: -1.4971304,LinearAccel: -2.8470933,AccelSetpoint: 0.0000000,AccelError: 2.8470933,LinearSpeed: 1.3152956,speedSetpoint: 0.0000000,SpeedError: -1.3152956,
2023/06/17/ 12:44:11::175,
Pitch: -1.2320697,MotorSetpoint: -10.6225128,PitchError: -0.2650607,PitchSetpoint: -1.4971304,LinearAccel: -8.9693966,AccelSetpoint: 0.0000000,AccelError: 8.9693966,LinearSpeed: 1.1359076,speedSetpoint: 0.0000000,SpeedError: -1.1359076,
2023/06/17/ 12:44:11::176,
Pitch: -1.4917765,MotorSetpoint: -6.1427765,PitchError: -0.0053539,PitchSetpoint: -1.4971304,LinearAccel: -20.8589134,AccelSetpoint: 0.0000000,AccelError: 20.8589134,LinearSpeed: 0.6978705,speedSetpoint: 0.0000000,SpeedError: -0.6978705,
2023/06/17/ 12:44:11::177,
Pitch: -1.6289454,MotorSetpoint: -2.7487056,PitchError: 0.1523774,PitchSetpoint: -1.4765680,LinearAccel: -18.0316448,AccelSetpoint: 0.0000000,AccelError: 18.0316448,LinearSpeed: 0.3552692,speedSetpoint: 0.0000000,SpeedError: -0.3552692,
2023/06/17/ 12:44:11::218,
Pitch: -1.7082634,MotorSetpoint: 0.4775412,PitchError: 0.2316954,PitchSetpoint: -1.4765680,LinearAccel: -36.5564575,AccelSetpoint: 0.0000000,AccelError: 36.5564575,LinearSpeed: -0.3758599,speedSetpoint: 0.0000000,SpeedError: 0.3758599,
2023/06/17/ 12:44:11::219,
Pitch: -1.6414831,MotorSetpoint: 0.3341001,PitchError: 0.1649151,PitchSetpoint: -1.4765680,LinearAccel: -25.8629589,AccelSetpoint: 0.0000000,AccelError: 25.8629589,LinearSpeed: -1.1258857,speedSetpoint: 0.0000000,SpeedError: 1.1258857,
2023/06/17/ 12:44:11::302,
Pitch: -1.5066655,MotorSetpoint: -2.8248932,PitchError: 0.0753137,PitchSetpoint: -1.4313518,LinearAccel: -41.6857147,AccelSetpoint: 0.0000000,AccelError: 41.6857147,LinearSpeed: -1.8762286,speedSetpoint: 0.0000000,SpeedError: 1.8762286,
2023/06/17/ 12:44:11::303,
Pitch: -1.3563361,MotorSetpoint: -5.7333889,PitchError: -0.0750157,PitchSetpoint: -1.4313518,LinearAccel: -69.8484573,AccelSetpoint: 0.0000000,AccelError: 69.8484573,LinearSpeed: -3.3430462,speedSetpoint: 0.0000000,SpeedError: 3.3430462,
2023/06/17/ 12:44:11::304,
Pitch: -1.1247996,MotorSetpoint: -14.0795527,PitchError: -0.5229954,PitchSetpoint: -1.4313518,LinearAccel: -95.7323303,AccelSetpoint: 0.0000000,AccelError: 95.7323303,LinearSpeed: -4.8747635,speedSetpoint: 0.0000000,SpeedError: 4.8747635,
2023/06/17/ 12:44:11::305,
Pitch: -0.7839842,MotorSetpoint: -23.7886505,PitchError: -0.6185865,PitchSetpoint: -1.4025707,LinearAccel: -30.4790859,AccelSetpoint: 0.0000000,AccelError: 30.4790859,LinearSpeed: -5.7586570,speedSetpoint: 0.0000000,SpeedError: 5.7586570,
2023/06/17/ 12:44:11::391,
